id_author;name;gender;birth_date;birth_place;nationality;active_start;province;region;latitude;longitude;id_artist
ART82291002;99 posse;M;;;;1991-01-01;Napoli;Campania;;;ART82291002
ART53496045;achille lauro;M;1990-07-11;Verona;Italia;2012-01-01;Verona;Veneto;45.4424977;10.9857377;ART53496045
ART18853907;alfa;M;;;;2016-02-05;provincia della Spezia;Liguria;;;ART18853907
ART64265460;anna pepe;F;;;;2007-06-28;Milano;Lombardia;;;ART64265460
ART75741740;articolo 31;M;;;;1990-01-01;;;;;ART75741740
ART24123617;babaman;M;1975-08-08;Rho;Italia;2006-06-28;Milano;Lombardia;45.528878;9.04156;ART24123617
ART40229749;baby k;F;1983-02-05;Singapore;Italia;2007-01-01;Torino;Piemonte;45.0806268;7.6707168;ART40229749
ART56320683;bassi maestro;M;1973-08-03;Milano;Italia;1988-01-01;Milano;Lombardia;45.4641943;9.1896346;ART56320683
ART19605256;beba;F;;;;2015-11-13;Torino;Piemonte;;;ART19605256
ART02666525;bigmama;F;;;;2001-01-01;Avellino;Campania;;;ART02666525
ART03111237;brusco;M;;;;2003-09-01;Roma;Lazio;;;ART03111237
ART95365016;bushwaka;M;;;;2013-08-12;La Spezia;Liguria;;;ART95365016
ART28846313;caneda;M;;;;2006-01-01;Milano;Lombardia;;;ART28846313
ART27304446;caparezza;M;1973-10-09;Sternatia;Italia;1996-01-01;Lecce;Puglia;40.222125;18.225226;ART27304446
ART70825116;capo plaza;M;1998-04-20;Salerno;Italia;2013-02-26;Salerno;Campania;40.4194416;15.3106085;ART70825116
ART67409252;chadia rodriguez;F;1998-11-07;Almería;Italia;2014-02-16;Genova;Liguria;44.4194958;8.9234821;ART67409252
ART71969350;clementino;M;1982-12-21;Avellino;Italia;2003-10-14;Avellino;Campania;40.9965446;15.140569;ART71969350
ART81071062;club dogo;M;;;;2003-04-23;Milano;Lombardia;;;ART81071062
ART78209349;coez;M;1983-07-11;Nocera Inferiore;Italia;2002-01-01;Salerno;Campania;40.7472133;14.6433202;ART78209349
ART85821920;colle der fomento;M;;;;1994-01-01;Roma;Lazio;;;ART85821920
ART59609037;cor veleno;M;;;;1993-01-01;Roma;Lazio;;;ART59609037
ART46851094;dani faiv;M;1993-11-05;La Spezia;Italia;2014-10-26;La Spezia;Liguria;44.238366;9.6912326;ART46851094
ART63985757;dargen d_amico;M;;;;2006-04-01;Milano;Lombardia;;;ART63985757
ART96068455;dark polo gang;M;;;;2014-01-01;Roma;Lazio;;;ART96068455
ART52349448;doll kill;F;;;;2016-01-29;Sassari;Sardegna;;;ART52349448
ART14383873;don joe;M;1975-05-15;Milano;Italia;1999-03-15;Milano;Lombardia;45.4641943;9.1896346;ART14383873
ART09119396;drefgold;M;1997-05-16;Bologna;Italia;2013-01-25;Bologna;Emilia-Romagna;44.4938203;11.3426327;ART09119396
ART86549066;emis killa;M;1989-11-14;Vimercate;Italia;2006-01-01;Monza e della Brianza;Lombardia;45.6139627;9.37006;ART86549066
ART57616402;ensi;M;1985-12-13;Alpignano;Italia;2002-01-01;Torino;Piemonte;45.0957237;7.5254027;ART57616402
ART19729064;entics;M;1985-03-16;Milano;Italia;1998-10-06;Milano;Lombardia;45.4641943;9.1896346;ART19729064
ART76284946;ernia;M;1993-11-29;Milano;Italia;2011-01-01;Milano;Lombardia;45.4641943;9.1896346;ART76284946
ART14073567;eva rea;F;;;;2014-12-18;Catania;Sicilia;;;ART14073567
ART25707984;fabri fibra;M;1976-10-17;Senigallia;Italia;1996-01-01;Ancona;Marche;43.7149517;13.2179488;ART25707984
ART07024718;fedez;M;1989-10-15;Milano;Italia;2006-01-01;Milano;Lombardia;45.4641943;9.1896346;ART07024718
ART46711784;frah quintale;M;1989-12-27;Brescia;Italia;2006-01-01;Brescia;Lombardia;45.7795804;10.425873;ART46711784
ART31005348;frankie hi-nrg mc;M;1969-08-18;Torino;Italia;1991-01-01;Torino;Piemonte;45.0677551;7.6824892;ART31005348
ART52465778;fred de palma;M;1989-11-03;Torino;Italia;2012-05-04;Torino;Piemonte;45.0677551;7.6824892;ART52465778
ART85046033;gemitaiz;M;1988-11-04;Roma;Italia;2003-01-01;Roma;Lazio;41.8933203;12.4829321;ART85046033
ART87162895;geolier;M;2000-03-23;Napoli;Italia;1999-01-19;Napoli;Campania;40.8358846;14.2487679;ART87162895
ART83125571;ghali;M;1993-05-21;Milano;Italia;2011-01-01;Milano;Lombardia;45.4641943;9.1896346;ART83125571
ART73965015;ghemon;M;1982-04-01;Avellino;Italia;1996-01-01;Avellino;Campania;40.9965446;15.140569;ART73965015
ART79325822;grido;M;1979-03-30;Milano;Italia;1996-01-01;Milano;Lombardia;45.4641943;9.1896346;ART79325822
ART04141409;guè pequeno;M;;;;1981-11-15;;;;;ART04141409
ART91515842;hell raton;M;1990-05-14;Olbia;Italia;2006-03-09;Gallura;Sardegna;40.9232659;9.5027442;ART91515842
ART59593021;hindaco;F;;;;2019-03-03;Milano;Lombardia;;;ART59593021
ART08177154;il tre;M;1997-01-01;Roma;Italia;2015-01-01;Roma;Lazio;41.8933203;12.4829321;ART08177154
ART57730937;inoki;M;1979-10-02;Roma;Italia;1996-01-01;Roma;Lazio;41.8933203;12.4829321;ART57730937
ART17812958;j-ax;M;1972-08-05;Milano;Italia;1990-01-01;Milano;Lombardia;45.4641943;9.1896346;ART17812958
ART80977821;jack the smoker;M;1982-12-20;Milano;Italia;1993-05-30;Milano;Lombardia;45.4641943;9.1896346;ART80977821
ART88792008;jake la furia;M;1979-02-25;Milano;Italia;1999-01-01;Milano;Lombardia;45.4641943;9.1896346;ART88792008
ART88199433;joey funboy;F;;;;2016-08-25;Bolzano;Trentino-Alto Adige;;;ART88199433
ART07469279;johnny marsiglia;M;;;;2007-10-12;Palermo;Sicilia;;;ART07469279
ART88423027;la pina;F;1970-06-20;Firenze;Italia;1995-01-01;Firenze;Toscana;43.7697955;11.2556404;ART88423027
ART39344115;lazza;M;1994-08-22;Scampia;Italia;2012-01-01;Napoli;Campania;40.8999881;14.2410519;ART39344115
ART05528539;luchè;M;1981-01-07;Napoli;Italia;2010-09-13;Napoli;Campania;40.8358846;14.2487679;ART05528539
ART20729624;madame;F;2002-01-16;Vicenza;Italia;2018-01-01;Vicenza;Veneto;45.6348591;11.4063543;ART20729624
ART40433104;madman;M;1988-07-25;Grottaglie;Italia;2006-01-01;Taranto;Puglia;40.5361927;17.4342206;ART40433104
ART16868977;mahmood;M;1992-09-12;Milano;Italia;2012-01-01;Milano;Lombardia;45.4641943;9.1896346;ART16868977
ART61734477;mambolosco;M;1991-08-16;Vicenza;Italia;2017-02-10;Vicenza;Veneto;45.6348591;11.4063543;ART61734477
ART02733420;marracash;M;1979-05-22;Nicosia;Italia;1999-01-01;Enna;Sicilia;37.747452;14.397271;ART02733420
ART63613967;massimo pericolo;M;1993-11-30;Gallarate;Italia;2014-06-18;Varese;Lombardia;45.6598951;8.7932013;ART63613967
ART37807199;mike24;M;;;;1997-01-01;;;;;ART37807199
ART43601431;miss keta;F;;;;2013-10-02;;;;;ART43601431
ART51628788;miss simpatia;F;;;;2007-01-01;Ancona;Marche;;;ART51628788
ART48537029;mistaman;M;1976-09-11;Treviso;Italia;2001-01-01;Treviso;Veneto;45.8066913;12.2063158;ART48537029
ART66452136;mistico;M;;;;2016-07-21;Milano;Lombardia;;;ART66452136
ART91352277;mondo marcio;M;1986-12-01;Milano;Italia;2003-01-01;Milano;Lombardia;45.4641943;9.1896346;ART91352277
ART71846481;mr. rain;M;1991-11-19;Desenzano del Garda;Italia;2011-01-01;Brescia;Lombardia;45.4694851;10.5389467;ART71846481
ART86576759;mudimbi;M;1986-10-17;San Benedetto del Tronto;Italia;2013-01-01;Ascoli Piceno;Marche;42.9525328;13.8807144;ART86576759
ART52272796;neffa;M;1967-10-07;Scafati;Italia;1988-01-01;Salerno;Campania;40.7499887;14.5269491;ART52272796
ART62385172;nerone;M;;;;2013-05-13;;;;;ART62385172
ART07629990;nesli;M;1980-12-29;Senigallia;Italia;1990-01-01;Ancona;Marche;43.7149517;13.2179488;ART07629990
ART19060721;niky savage;M;1997-07-22;Milano;;2021-02-18;Milano;Lombardia;45.4641943;9.1896346;ART19060721
ART78358659;nitro;M;1993-02-11;Vicenza;Italia;2007-01-01;Vicenza;Veneto;45.6348591;11.4063543;ART78358659
ART07127070;noyz narcos;M;1979-12-15;Roma;Italia;1996-01-01;Roma;Lazio;41.8933203;12.4829321;ART07127070
ART42220690;o zulù;M;;;;2007-06-19;;;;;ART42220690
ART12092805;papa v;M;2001-02-19;Pieve Emanuele;Italia;2020-03-31;Milano;Lombardia;45.3559126;9.2020722;ART12092805
ART66932389;piotta;M;1973-04-26;Roma;Italia;1994-01-01;Roma;Lazio;41.8933203;12.4829321;ART66932389
