swear_IT,swear_EN,year,n_sentences,n_tokens,tokens_per_sent,char_per_tok,lexical_density,avg_token_per_clause,bpm,centroid,rolloff,flux,rms,zcr,flatness,spectral_complexity,pitch,loudness,duration_ms,explicit,marco-zones
13,6,2021.0,102.0,911.0,8.931372549019608,4.170454545454546,0.5752840909090909,8.133928571428571,135.32,0.1858,2895.7767,1.4499,0.1786,0.1046,0.8202,25.7148,2311.1779,17.8675,207761.0,1,North
9,12,2020.0,56.0,675.0,12.053571428571429,4.280851063829787,0.648936170212766,12.5,129.37,0.2071,3378.4605,1.3533,0.202,0.1175,0.6739,29.1089,1892.1924,21.4595,207761.0,1,North
16,12,2021.0,88.0,758.0,8.613636363636363,4.075250836120401,0.5568561872909699,8.422222222222222,133.68,0.1833,2037.4847,1.3822,0.2552,0.08,0.7842,26.9762,2484.3503,29.459,193544.0,1,North
8,3,2019.0,37.0,382.0,10.324324324324325,4.023880597014926,0.5343283582089552,6.701754385964913,162.22,0.1048,1156.3781,1.5499,0.1971,0.0436,0.8764,14.2956,2984.6109,20.5067,169000.0,1,North
1,0,2020.0,48.0,429.0,8.9375,3.922857142857143,0.4914285714285714,8.411764705882353,105.87,0.1421,1693.4542,1.0886,0.2369,0.0695,0.8571,36.6951,1572.0499,25.3407,194779.0,1,North
2,0,2020.0,62.0,387.0,6.241935483870968,4.16060606060606,0.5060606060606061,6.45,92.02,0.1115,1158.8606,1.0737,0.2334,0.0463,0.8943,23.0539,1943.181,25.268,200329.0,1,North
5,2,2072.0,82.0,680.0,8.292682926829269,3.81767955801105,0.438305709023941,12.142857142857142,129.82,0.1575,1787.9302,1.2172,0.2632,0.0708,0.8592,29.9563,2111.893,29.2586,171230.0,1,North
7,13,2098.0,82.0,657.0,8.012195121951219,4.031372549019608,0.5352941176470588,10.265625,129.95,0.1761,2331.3437,1.3638,0.2576,0.0852,0.8193,36.5045,2137.0455,28.7634,168513.0,1,North
0,2,2023.0,82.0,584.0,7.121951219512195,3.935840707964602,0.5376106194690266,11.0188679245283,124.14,0.1969,2456.785,1.2137,0.2573,0.0959,0.8385,40.9769,1861.3738,28.079,178080.0,1,North
4,5,2020.0,50.0,589.0,11.78,3.851508120649652,0.5545243619489559,9.34920634920635,154.92,0.1449,1660.9177,1.091,0.2157,0.0662,0.8995,30.1906,1757.9368,22.5514,188534.0,1,North
12,0,2022.0,54.0,487.0,9.01851851851852,3.8451443569553807,0.4960629921259842,8.254237288135593,123.68,0.1212,1268.2502,1.1937,0.2342,0.0531,0.8793,26.471,2394.9852,25.6333,160645.0,0,North
3,6,2020.0,51.0,497.0,9.745098039215684,4.046997389033942,0.5404699738903395,13.805555555555555,99.87,0.1872,2557.5925,1.2525,0.2336,0.0962,0.7574,33.8207,1726.0318,25.7406,136737.0,1,North
36,1,2020.0,57.0,332.0,5.824561403508772,3.785992217898833,0.5797665369649806,8.3,125.06,0.1394,1755.2472,1.41,0.2754,0.0633,0.8123,26.8521,2877.0575,32.8955,210369.0,1,North
4,8,2020.0,47.0,455.0,9.680851063829786,4.254385964912281,0.5672514619883041,9.891304347826088,126.07,0.1643,2501.5662,1.2107,0.1927,0.0859,0.7858,29.5363,1794.6078,20.1684,134437.0,1,North
